date,bucket,count
2012-07-20,Unit_7,223
2012-07-20,Unit_6,247
2012-07-20,Unit_5,247
2012-07-20,Unit_8,228
2012-07-20,Unit_10,185
2012-07-20,Unit_9,145
2012-07-20,Unit_4,182
2012-07-20,Unit_11,148
2012-07-20,Unit_3,163
2012-07-20,Unit_12,162
2012-07-20,Unit_13,129
2012-07-20,Unit_15,133
2012-07-20,Unit_14,105
2012-07-20,Unit_2,107
2012-07-20,Unit_16,107
2012-07-20,Unit_17,74
2012-07-20,Unit_1,86
2012-07-21,Unit_7,302
2012-07-21,Unit_6,298
2012-07-21,Unit_5,296
2012-07-21,Unit_8,221
2012-07-21,Unit_10,214
2012-07-21,Unit_9,252
2012-07-21,Unit_4,240
2012-07-21,Unit_11,144
2012-07-21,Unit_3,190
2012-07-21,Unit_12,132
2012-07-21,Unit_13,118
2012-07-21,Unit_15,83
2012-07-21,Unit_14,123
2012-07-21,Unit_2,154
2012-07-21,Unit_1,106
2012-07-22,Unit_7,289
2012-07-22,Unit_6,261
2012-07-22,Unit_5,286
2012-07-22,Unit_8,262
2012-07-22,Unit_10,232
2012-07-22,Unit_9,251
2012-07-22,Unit_4,222
2012-07-22,Unit_11,184
2012-07-22,Unit_3,236
2012-07-22,Unit_12,139
2012-07-22,Unit_13,162
2012-07-22,Unit_15,122
2012-07-22,Unit_14,130
2012-07-22,Unit_2,141
2012-07-22,Unit_16,115
2012-07-22,Unit_17,137
2012-07-22,Unit_18,118
2012-07-22,Unit_19,93
2012-07-22,Unit_20,63
2012-07-23,Unit_7,288
2012-07-23,Unit_6,266
2012-07-23,Unit_5,287
2012-07-23,Unit_8,279
2012-07-23,Unit_10,238
2012-07-23,Unit_9,248
2012-07-23,Unit_4,259
2012-07-23,Unit_11,237
2012-07-23,Unit_3,189
2012-07-23,Unit_12,184
2012-07-23,Unit_13,155
2012-07-23,Unit_15,165
2012-07-23,Unit_14,149
2012-07-23,Unit_2,154
2012-07-23,Unit_16,122
2012-07-23,Unit_17,115
2012-07-23,Unit_1,107
2012-07-23,Unit_18,123
2012-07-23,Unit_19,67
2012-07-23,Unit_20,67
2012-07-23,Unit_21,68
2012-07-24,Unit_7,274
2012-07-24,Unit_6,330
2012-07-24,Unit_5,291
2012-07-24,Unit_8,241
2012-07-24,Unit_10,257
2012-07-24,Unit_9,258
2012-07-24,Unit_4,231
2012-07-24,Unit_11,218
2012-07-24,Unit_3,200
2012-07-24,Unit_12,182
2012-07-24,Unit_13,138
2012-07-24,Unit_15,144
2012-07-24,Unit_14,138
2012-07-24,Unit_2,150
2012-07-24,Unit_16,121
2012-07-24,Unit_17,61
2012-07-24,Unit_1,101
2012-07-25,Unit_7,273
2012-07-25,Unit_6,199
2012-07-25,Unit_5,200
2012-07-25,Unit_8,243
2012-07-25,Unit_10,218
2012-07-25,Unit_9,209
2012-07-25,Unit_4,198
2012-07-25,Unit_11,157
2012-07-25,Unit_3,164
2012-07-25,Unit_12,156
2012-07-25,Unit_13,137
2012-07-25,Unit_15,104
2012-07-25,Unit_14,135
2012-07-25,Unit_2,151
2012-07-25,Unit_16,96
2012-07-25,Unit_17,75
2012-07-25,Unit_1,63
2012-07-26,Unit_7,102
2012-07-26,Unit_6,129
2012-07-26,Unit_8,109
2012-07-26,Unit_10,127
2012-07-26,Unit_9,105
2012-07-26,Unit_11,129
2012-07-26,Unit_12,132
2012-07-26,Unit_13,147
2012-07-26,Unit_15,179
2012-07-26,Unit_14,120
2012-07-26,Unit_16,104
2012-07-26,Unit_17,137
2012-07-26,Unit_18,138
2012-07-26,Unit_19,138
2012-07-26,Unit_20,88
2012-07-26,Unit_21,113
2012-07-26,Unit_23,122
2012-07-26,Unit_22,110
2012-07-26,Unit_24,85
