date,bucket,count
2012-07-20,Unit_7,206
2012-07-20,Unit_6,213
2012-07-20,Unit_5,265
2012-07-20,Unit_9,160
2012-07-20,Unit_8,221
2012-07-20,Unit_10,171
2012-07-20,Unit_4,176
2012-07-20,Unit_11,112
2012-07-20,Unit_12,153
2012-07-20,Unit_13,121
2012-07-20,Unit_3,112
2012-07-20,Unit_14,84
2012-07-20,Unit_17,65
2012-07-20,Unit_15,62
2012-07-20,Unit_2,72
2012-07-20,Unit_16,44
2012-07-20,Unit_1,71
2012-07-21,Unit_7,287
2012-07-21,Unit_6,263
2012-07-21,Unit_5,309
2012-07-21,Unit_9,248
2012-07-21,Unit_8,207
2012-07-21,Unit_10,162
2012-07-21,Unit_4,245
2012-07-21,Unit_11,163
2012-07-21,Unit_12,137
2012-07-21,Unit_13,98
2012-07-21,Unit_3,175
2012-07-21,Unit_14,117
2012-07-21,Unit_15,84
2012-07-21,Unit_2,105
2012-07-21,Unit_1,78
2012-07-22,Unit_7,273
2012-07-22,Unit_6,270
2012-07-22,Unit_5,252
2012-07-22,Unit_9,203
2012-07-22,Unit_8,255
2012-07-22,Unit_10,214
2012-07-22,Unit_4,179
2012-07-22,Unit_11,178
2012-07-22,Unit_12,124
2012-07-22,Unit_13,111
2012-07-22,Unit_3,178
2012-07-22,Unit_14,119
2012-07-22,Unit_17,103
2012-07-22,Unit_15,111
2012-07-22,Unit_2,73
2012-07-22,Unit_16,67
2012-07-22,Unit_19,107
2012-07-22,Unit_18,84
2012-07-22,Unit_20,53
2012-07-23,Unit_7,292
2012-07-23,Unit_6,280
2012-07-23,Unit_5,249
2012-07-23,Unit_9,267
2012-07-23,Unit_8,235
2012-07-23,Unit_10,247
2012-07-23,Unit_4,228
2012-07-23,Unit_11,236
2012-07-23,Unit_12,179
2012-07-23,Unit_13,179
2012-07-23,Unit_3,129
2012-07-23,Unit_14,177
2012-07-23,Unit_17,132
2012-07-23,Unit_15,83
2012-07-23,Unit_2,119
2012-07-23,Unit_16,128
2012-07-23,Unit_19,85
2012-07-23,Unit_18,92
2012-07-23,Unit_1,51
2012-07-23,Unit_20,5
2012-07-23,Unit_21,25
2012-07-24,Unit_7,248
2012-07-24,Unit_6,260
2012-07-24,Unit_5,251
2012-07-24,Unit_9,223
2012-07-24,Unit_8,192
2012-07-24,Unit_10,223
2012-07-24,Unit_4,219
2012-07-24,Unit_11,169
2012-07-24,Unit_12,164
2012-07-24,Unit_13,102
2012-07-24,Unit_3,164
2012-07-24,Unit_14,78
2012-07-24,Unit_17,81
2012-07-24,Unit_15,63
2012-07-24,Unit_2,92
2012-07-24,Unit_16,91
2012-07-24,Unit_1,83
2012-07-25,Unit_7,273
2012-07-25,Unit_6,162
2012-07-25,Unit_5,182
2012-07-25,Unit_9,211
2012-07-25,Unit_8,192
2012-07-25,Unit_10,182
2012-07-25,Unit_4,209
2012-07-25,Unit_11,132
2012-07-25,Unit_12,135
2012-07-25,Unit_13,122
2012-07-25,Unit_3,134
2012-07-25,Unit_14,137
2012-07-25,Unit_17,82
2012-07-25,Unit_15,89
2012-07-25,Unit_2,123
2012-07-25,Unit_16,55
2012-07-25,Unit_1,14
2012-07-26,Unit_7,87
2012-07-26,Unit_6,54
2012-07-26,Unit_9,117
2012-07-26,Unit_8,58
2012-07-26,Unit_10,83
2012-07-26,Unit_11,126
2012-07-26,Unit_12,116
2012-07-26,Unit_13,147
2012-07-26,Unit_14,86
2012-07-26,Unit_17,156
2012-07-26,Unit_15,110
2012-07-26,Unit_16,97
2012-07-26,Unit_19,160
2012-07-26,Unit_18,153
2012-07-26,Unit_20,90
2012-07-26,Unit_21,65
2012-07-26,Unit_22,88
2012-07-26,Unit_23,54
2012-07-26,Unit_24,39
